Category,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
National Defense,45.31690141,71.21090172,83.60680397,85.44453441,88.16590684,75.27380469,35.53040391,28.98942944,32.37799773,30.92453638,49.25385612,64.85653575,66.27422432,66.34972795,59.39780641,57.2870076,56.27818245,53.93992465,50.68192863,49.61241908,48.37706037,46.6965815,45.59737687,44.07498632,40.77752805,41.19156477,43.34686842,44.00388873,43.05104735,39.99001376,35.80550121,32.952781300000005,29.59330956,27.733233600000002,25.00737135,23.206656,22.22832217,22.92889851,22.02370665,22.30893723,21.93464215,22.30171518,24.00867017,24.91903507,25.73212502,25.81528511,26.71252085,27.10269954,26.36321788,25.70419703,23.21019533,20.04171369,20.99831856,20.119548899999998,18.78196014,17.43773382,16.62895531,16.38324766,15.77934777,15.77059348,16.07196384,15.95574957,16.92942575,18.27830343,19.38493088,19.52142949,19.16131164,19.61127373,20.07523496,18.30897905,19.59442755,19.11276944,18.67309955,17.85528852,16.78914668,15.48616601,15.03020748,14.70536079,15.00295585,14.79785799,15.19551181,15.10550966,14.58110956,14.31415484,14.12935202
Education,11.21126761,2.947461908,0.47006029299999996,0.17273954100000002,0.14240018699999998,0.149909173,0.282956059,0.6081253179999999,0.43827251700000003,0.543049641,0.491159136,0.47704149799999995,0.55351943,0.498303076,0.6185968279999999,0.7961955059999999,0.7308854859999999,0.740860227,0.8158327390000001,0.997814703,1.036769726,1.107086783,1.244962088,1.251650085,1.723901818,3.092681198,3.9166772880000003,4.100355035,3.9389226930000003,4.226531102,4.471147953,5.214658814,4.918260547,4.35325122,4.631519307,4.896705664,5.1595580089999995,4.976208328999999,5.62864357,5.794394673999999,5.211308876,4.693026298,3.4474672280000003,3.1096706789999997,3.0456129080000003,2.9200934789999997,2.909255425,2.7793155410000003,2.8081058089999997,2.991223205,2.882034103,3.02372943,3.007793447,3.274462044,2.886315924,3.2700998660000002,3.023019778,2.9660424119999997,2.9719024839999997,2.904515731,2.93546765,2.989438476,3.428386531,3.729743425,3.7413805860000005,3.845015393,4.350677487,3.260707155,2.974694228,2.208920216,3.633538135,2.7423031960000004,2.501942784,2.052278879,2.521055396,3.2056780430000003,2.7796557280000003,3.536230546,2.270454497,3.0809127889999997,2.314028551,2.01922875,1.885188272,1.7621148619999998,1.674438665
Health,0.422535211,0.197052538,0.115321459,0.18785425100000003,0.22422716,0.354491102,0.491011984,0.515792155,0.485054415,0.603889227,0.6750825570000001,0.488299115,0.421729089,0.41345687700000006,0.40452062200000005,0.483644986,0.5933799120000001,0.623336521,0.7082958509999999,0.8194862490000001,0.890471082,1.068726806,1.238984903,1.4391963680000002,1.442760821,1.802587276,2.033904478,2.357945848,2.693788943,2.891605191,3.10651492,3.6101804260000003,3.610738048,3.751380598,3.7377071930000003,4.074286987,3.9168321969999997,4.079717424,3.904178592,3.929787691,3.792706623,3.803863046,3.555779551,3.400170952,3.4417598380000003,3.4258930139999997,3.511177079,3.8409491080000002,4.038831179,4.096684463,4.474143346,5.219198566,6.298242762,6.870536615,7.142733294,7.396437757999999,7.469163459,7.500019684,7.732465234,8.095566345,8.435784052,9.018109733,9.546632489,9.914775947999999,10.21196932,9.875054243,9.28061543,9.476670305,9.143648335,9.260546722,10.42802106,10.090769900000002,9.551860707000001,10.10004888,11.39153132,12.66479325,12.95123463,13.09431471,13.10263041,12.99068833,12.68444651,12.94156202,12.03458959,12.01701362,11.98636141
Medicare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04536594,1.6679109230000002,2.497059282,2.971934915,3.041398857,3.0061876080000003,3.112812936,3.107488538,3.369007508,3.7218082060000004,4.100181781,4.256211134,4.561445704,4.79865786,5.080497943999999,5.25305173,5.542970088,6.033229598999999,6.24308474,6.510795315,6.723089054,6.8560439870000005,7.219800245,7.1617230339999995,7.194516302,7.607106024,7.662837777999999,8.377199187,9.023674774,9.652863175,10.24582152,10.90198135,11.50852559,11.34479293,10.93086271,10.762198399999999,11.38221343,11.21588545,11.26474011,11.4554104,11.77046494,12.11280432,13.35528815,12.73330887,11.91289073,12.76098096,13.15586591,12.99669789,14.03249348,14.23598514,14.34485838,15.05969179,14.67060662,13.99378309,14.07654218,14.11115072,14.2307767,15.28411889,15.25839479,15.24399442
Income Security,13.06338028,5.073409009,2.179826266,1.622672065,1.208276214,4.204511384,7.822902796,7.956571574,7.8150391489999995,9.23184389,7.005810307999999,5.14332353,4.7984235360000005,5.9715563220000005,7.049223626,6.377647249,6.722907685,8.68177576,8.519196369,7.605244712,9.444065152,8.213495575,7.950508915,7.773109244,7.627862765,6.860180755,6.227959965,6.346580441,6.8237086829999996,7.6634635620000005,10.41678962,11.50812644,10.91325893,11.78366211,14.50450086,15.74377619,14.95762754,14.39761565,12.96383724,12.72895318,14.17047127,14.20169281,14.01297157,14.60704704,12.83206018,13.17938724,11.79268098,11.93083524,11.84238362,11.65065561,11.54131869,12.66026734,14.05762492,14.52454153,14.49059835,14.34472698,14.37616075,14.23515026,13.98815758,13.91722489,13.85310978,14.12535075,15.19322388,15.11244508,14.16441763,13.63115205,12.94301032,13.01974013,14.05484123,14.76945508,17.58055151,16.18160157,14.91265114,15.12292871,14.29040421,13.36370202,13.02322294,12.36619645,11.77391202,11.52644036,10.58992201,10.23321457,10.15190084,9.901080325,9.67112442
Social Security,0.64084507,0.380228137,0.22186845800000002,0.234278003,0.283737686,0.6313821629999999,1.292720817,1.776617422,1.6176687840000001,1.7598413659999999,3.270910839,2.90305785,3.410231951,4.514356516,6.153995857000001,7.379964434,8.251573262,9.469875909,10.06814116,11.95934524,12.16619526,12.81490865,13.481112099999999,13.3777649,14.06510549,14.6687932,13.18608618,12.81240097,14.2454573,14.81782447,16.28480246,16.713628699999997,18.94518285,19.52654242,18.69084854,19.13599428,19.72689977,20.05692081,19.78245017,19.95631865,19.40584367,19.76321073,20.20672625,20.26782534,20.16637945,19.26603912,19.42135395,19.92864777,19.91505226,19.69101278,19.27892929,19.72849431,20.24086278,21.0527298,21.31109605,21.52587141,21.88036573,22.12182384,22.31133197,22.38649545,22.35413979,22.66965537,22.15338393,21.43720693,21.07479104,20.62545006,20.14280469,20.85268047,20.10655028,18.91698677,19.96886298,19.79695693,21.30217385,22.93200656,23.66319935,23.31498431,23.20412334,23.20738488,23.48019723,22.63134037,22.79950749,23.20130707,23.47103613,24.16241737,25.01800946
Veterans Benefits,3.9436619719999997,1.390469318,0.345964376,0.0,0.11689567599999999,4.347366008,17.59875721,20.55845644,16.24809179,19.90581131,11.54955482,7.515866203,5.672005221,6.2126272689999995,6.498741955,6.58915773,6.200138744,6.164233619,5.628108488,5.608584505,5.564225105,5.012667713,4.708313409,4.567919122,4.60459009,4.193514088,4.087838453,3.777010297,3.9822362310000003,4.243664364,4.434376404,4.461740162,4.632288242,4.674458596,4.793978042,4.769562223,3.9527664369999997,4.249489505,3.996282136,3.818570903,3.4653116880000003,3.252666782,3.101411947,2.947028516,2.8938753939999997,2.6812890940000003,2.571260782,2.568930255,2.6663749119999998,2.540570979,2.251378324,2.29359312,2.39560701,2.463553345,2.5047281669999997,2.426744828,2.312490301,2.379217595,2.455855669,2.476916834,2.565558541,2.35483599,2.474340301,2.573476447,2.540893042,2.76369719,2.563470789,2.590536066,2.758517538,2.64323123,3.0623913060000003,3.44542591,3.4322755380000003,3.916321322,4.162558342,4.195186007,4.4205181389999995,4.336116778,4.251480481000001,4.333169265,4.4794764030000005,4.642337884,4.7916393280000005,4.642092741,4.495650549
Energy,0.64084507,0.432960506,0.145405317,0.070175439,0.026567199,0.07230913,0.049933422000000005,0.92969944,0.8396119559999999,0.73683499,0.800484889,0.667013777,0.533437092,0.58180251,0.4517842000000001,0.23441289,0.29730935,0.400963234,0.394991263,0.478291345,0.49741539100000004,0.538823865,0.452558235,0.460414051,0.563087556,0.433811802,0.47463840700000004,0.556990853,0.527068352,0.48805322100000004,0.469858679,0.539404408,0.477392365,0.455422428,0.842935358,1.088617166,1.1269377040000002,1.3605345930000001,1.684209195,1.7601015519999998,1.662511479,2.147300936,1.752560757,1.110359237,0.80032769,0.572803674,0.45828126,0.391360844,0.208465175,0.22905191100000002,0.259070572,0.178647253,0.316650584,0.29852665100000003,0.347977091,0.316370305,0.17764801300000002,0.08933497800000001,0.074721178,0.052287597000000005,0.0,0.0,0.023077454,0.0,0.0,0.017342081999999998,0.028825322,-0.030310318,0.020561877,0.131705923,0.328266739,0.32978178199999997,0.40930013200000004,0.31124688699999997,0.146619897,0.17958583399999997,0.094202864,0.09470818,0.05155802,0.06904260599999999,0.072817928,0.0,0.0,0.0,0.0
Nat. Resources/Environment,5.753521127000001,2.273042658,0.910036727,0.6931174090000001,0.483523023,0.8500731909999999,1.941855304,2.483443709,2.659181563,2.947339958,2.7379509260000003,1.73508014,1.617883322,1.356192426,1.306698917,1.17206445,1.3601902780000001,1.6211358319999998,1.6875019390000001,1.607017689,1.735101921,1.823437054,1.9220916730000002,1.9028300980000001,2.038876403,1.9273436119999998,1.741352416,1.604907106,1.513364575,1.500384275,1.777291526,1.7651343309999998,1.842803995,1.991206118,2.123526453,2.1192299919999997,2.519389517,2.365490995,2.314812863,2.326923667,2.268519504,1.921045701,1.684023414,1.504380654,1.424137467,1.363064377,1.3316539459999999,1.28355208,1.3256968740000001,1.3691461569999999,1.3224928470000001,1.359948547,1.4077191230000001,1.39787057,1.400444408,1.402963856,1.345531955,1.28406161,1.3107389040000001,1.374228241,1.365142059,1.336854016,1.429636115,1.339802852,1.305362217,1.1029169779999999,1.212683142,1.128490133,1.036892113,0.9853154129999999,1.233811644,1.231819201,1.146828227,1.075213958,1.0063355379999999,0.946331727,0.9899532990000001,0.9307731340000001,0.9303738540000001,0.861713973,0.899721517,0.84990646,0.805754807,0.751765226,0.7368127740000001
Commerce and Housing Credit,2.8028169010000004,4.2213649360000005,2.696265841,0.673684211,0.0,0.0,0.0,0.97427407,1.9697641209999999,2.332184141,2.5665677380000003,1.798404233,1.14218295,-0.247804773,0.127889681,0.6816834620000001,1.7640354790000001,1.071539676,1.99873851,1.6678349069999998,1.173315127,1.2703397090000002,0.052940775,0.33645642200000003,0.932034768,2.3001949319999997,2.415071894,2.298862922,-0.062100132999999995,1.033870012,1.074092401,0.924812187,0.35929853799999995,1.6444839009999999,2.8754039789999997,1.9729244030000002,0.9292993820000001,0.729312565,1.3181134159999999,0.8985549490000001,1.537119219,1.161858861,0.81052858,0.79314766,0.7874283040000001,0.442983155,0.494240216,0.6183732,1.739903376,2.515675872,5.241817294,5.593360424,0.768435448,0.0,0.0,0.0,0.0,0.0,0.059247422,0.151582374,0.175099411,0.300074822,0.0,0.032832328,0.223911255,0.298204976,0.22718760300000002,0.017325264,0.9081767190000001,8.075054926,-2.325839633,0.0,1.119721528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,2.4859154930000003,3.560822625,4.03625105,4.211605938,3.8830618169999997,3.474365531,3.134709277,2.505731024,2.255379918,2.178958516,1.9980771640000001,1.581695116,1.586504669,1.655174271,1.7320711180000001,1.95344075,2.058867251,2.6892189280000003,3.779301217,4.253082093,3.888617965,3.827076791,3.9244483910000003,4.219388905,4.642451485,4.061669325,3.60288182,3.3924341630000003,3.4055921430000002,3.4305686769999997,3.655364333,3.492810022,3.498819062,3.205782432,3.1560933589999998,3.557685834,3.351866085,3.496597485,3.2712565280000003,3.466703995,3.491503283,3.3101509030000003,2.672179021,2.532706508,2.678206714,2.639105086,2.747049265,2.52020237,2.476159519,2.337769009,2.286350137,2.280685929,2.345987392,2.4194551730000002,2.538538896,2.522117399,2.475746259,2.4690976680000003,2.3736035380000002,2.441159235,2.558133059,2.850841712,3.0041014710000002,3.028929029,2.748473448,2.6759620219999998,2.579370617,2.593631133,2.5292086190000003,2.334670982,2.5986700369999998,2.5183582319999998,2.562437002,2.584036941,2.557223492,2.351397844,2.3447115569999997,2.29775407,2.205537507,2.138007825,2.077637997,1.98572387,1.654645294,1.5361158430000001,1.4908519869999999
Community and Regional Development,0.8661971829999999,0.313618828,0.27451521100000004,0.256950067,0.258233175,0.352727465,0.83777186,0.248344371,-0.08125277,0.06759954,0.098231827,0.10272575,0.14685209400000002,0.134676507,0.179323575,0.12394244800000001,0.16723651,0.19472065100000002,0.218175802,0.23089927,0.268214181,0.418391379,0.490129107,0.7509900509999999,0.8973956190000001,0.78327131,0.672505569,0.7422963920000001,0.8099109720000001,1.170936113,1.324229727,1.4246769190000002,1.777196314,1.47811316,1.2493712670000001,1.409194724,1.566133975,1.6555135840000001,2.4956477390000003,2.009572314,1.8419239040000002,1.4962861859999999,1.081438947,0.89797469,0.868219195,0.7840301359999999,0.7067693709999999,0.485260536,0.480577601,0.454039316,0.661517823,0.499420276,0.48113434,0.632165953,0.7082247429999999,0.6887591759999999,0.6721089490000001,0.669194695,0.574882388,0.681001465,0.580006563,0.616433586,0.630670373,0.851292135,0.672796973,1.03508579,1.99996328,1.051860527,0.780504082,0.766581097,0.6751252759999999,0.646967167,0.692322716,0.911444313,0.575072726,0.542828254,0.510149415,0.611747056,1.002136722,0.713360998,0.7344396470000001,0.545945275,0.5280617670000001,0.476262187,0.40457830899999997
Net Interest,6.64084507,2.9197080289999997,1.9165925019999999,2.395681511,3.3070849410000003,7.2503130460000005,11.66222814,13.82131941,11.136553900000001,10.84296627,9.750031351,6.615256885,6.4715332860000006,6.479286752999999,6.74201037,6.842431427,6.632476091,6.456890691,5.957957212999999,7.160969777,6.550277967,6.1456251779999995,6.609057996000001,6.599536366000001,6.9205796820000005,6.653198653,6.232208647,5.9566331329999995,6.626971287999999,7.039323285,6.737364887000001,6.442053566,6.695456861,7.496819382999999,6.719200772000001,6.92090176,6.936306559,7.050493046000001,7.473243603999999,8.175009204,8.599519057,9.73633761,11.0167625,10.66172804,12.57146995,13.22494188,13.29084053,13.32193466,13.78294381,14.30884327,14.294786800000002,14.26009896,14.03031653,13.734921599999998,13.5330945,14.87850573,15.08368667,14.77715617,14.18631579,13.18697781,12.17282154,10.79489197,8.305405566000001,6.912988912,6.814940005,7.251591432000001,8.320897441,8.435268972000001,8.236384029,5.176887563,5.54346398,6.229446202999999,6.071680139,6.226206187000001,6.36992506,5.861384318,6.080074207000001,6.448580777,7.7247890439999995,8.505988484,9.860321787,10.8480519,11.548603100000001,12.21843553,12.63081383
